,half,year,warrants,subpoenas,emergency_requests,court_orders,source
0,1,2021,80,109,15,5,https://explore.zoom.us/docs/en-us/trust/transparency.html
1,2,2021,23,74,2,4,https://explore.zoom.us/docs/en-us/trust/transparency.html
